epoch_duration,epoch,batch_size,data_size,accuracy,test_duration
2512.105089724,0,64,60000,0.468,119.04076407399953
2512.0988517410005,0,64,60000,0.468,119.04092574999959
2516.1113372710006,1,64,60000,0.6237,124.33769756899892
2516.111144987999,1,64,60000,0.6237,124.3378774490011
2605.0241502730005,2,64,60000,0.6266,123.65483432499968
2605.024210866999,2,64,60000,0.6266,123.65477509300035
4094.8714195030007,0,64,60000,0.5147,196.72888870799943
4094.8331011140017,0,64,60000,0.5147,196.72891602899836
4094.834078291002,0,64,60000,0.5147,196.72873530799916
4093.155932775,1,64,60000,0.5773,193.90171050999925
4093.156059965,1,64,60000,0.5773,193.90154297400295
4093.1556143730013,1,64,60000,0.5773,193.9021315359969
4105.984903943001,2,64,60000,0.6178,194.16903976899994
4105.985080858001,2,64,60000,0.6178,194.1690311429993
4105.984603165001,2,64,60000,0.6178,194.16931530999864
5387.908515783998,0,64,60000,0.4106,239.6268798960009
5387.914624555,0,64,60000,0.4106,239.62680368200017
5387.906403991001,0,64,60000,0.4106,239.62690007399942
5387.900610287001,0,64,60000,0.4106,239.62634198899832
5332.712967120002,1,64,60000,0.5353,236.92732831999456
5332.713194429998,1,64,60000,0.5353,236.9270505739987
5332.7129228369995,1,64,60000,0.5353,236.92738023799757
5332.712973573001,1,64,60000,0.5353,236.92751208700065
5333.36516999,2,64,60000,0.6131,237.12234171299497
5333.364913425001,2,64,60000,0.6131,237.1227742409974
5333.364903064998,2,64,60000,0.6131,237.1227819650012
5333.364728945999,2,64,60000,0.6131,237.12279202399804
